_id,Municipality,Ten-year housing target,Total housing progress since 2022,Target for 2023,Total 2023 housing progress,Progress % for 2023,Housing Target Status
1,Ajax,17000,1638,1247,1121,89.9,On track
2,Aurora,8000,474,587,232,39.52,Not met
3,Barrie,23000,3991,1687,1716,101.72,Exceeded
4,Belleville,3100,927,227,697,307.05,Exceeded
5,Bradford West Gwillimbury,6500,752,477,254,53.25,Not met
6,Brampton,113000,15214,8287,7028,84.81,On track
7,Brantford,10000,2171,733,788,107.5,Exceeded
8,Burlington,29000,712,2127,584,27.46,Not met
9,Caledon,13000,1796,953,778,81.64,On track
10,Cambridge,19000,2282,1393,1220,87.58,On track
11,Chatham-Kent,1100,1067,81,522,644.44,Exceeded
12,Clarington,13000,1236,953,547,57.4,Not met
13,East Gwillimbury,4300,886,315,190,60.32,Not met
14,Georgina,6200,622,455,419,92.09,On track
15,Greater Sudbury,3800,737,279,436,156.27,Exceeded
16,Guelph,18000,1728,1320,1287,97.5,On track
17,Haldimand County,4200,581,308,339,110.06,Exceeded
18,Halton Hills,9500,386,697,144,20.66,Not met
19,Hamilton,47000,7812,3447,4142,120.16,Exceeded
20,Innisfil,6300,1295,462,738,159.74,Exceeded
21,Kawartha Lakes,6500,1043,477,470,98.53,On track
22,Kingston,8000,1896,587,1465,249.57,Exceeded
23,Kitchener,35000,6527,2567,3579,139.42,Exceeded
24,London,47000,4313,3447,1804,52.34,Not met
25,Markham,44000,4458,3227,1472,45.62,Not met
26,Milton,21000,3279,1540,1952,126.75,Exceeded
27,Mississauga,120000,8603,8800,3470,39.43,Not met
28,New Tecumseth,6400,307,469,101,21.54,Not met
29,Newmarket,12000,784,880,286,32.5,Not met
30,Niagara Falls,8000,1083,587,471,80.24,On track
31,Norfolk County,5700,546,418,269,64.35,Not met
32,North Bay,1000,422,73,202,276.71,Exceeded
33,Oakville,33000,3924,2420,1941,80.21,On track
34,Oshawa,23000,3114,1687,1135,67.28,Not met
35,Ottawa,151000,20770,11073,10313,93.14,On track
36,Peterborough City,4700,776,345,506,146.67,Exceeded
37,Pickering,13000,3052,953,1502,157.61,Exceeded
38,Richmond Hill,27000,2196,1980,769,38.84,Not met
39,Sarnia,1000,411,73,254,347.95,Exceeded
40,Sault Ste. Marie,1500,482,110,213,193.64,Exceeded
41,St. Catharines,11000,1071,807,648,80.3,On track
42,Thunder Bay,2200,341,161,200,124.22,Exceeded
43,Toronto,285000,53340,20900,31656,151.46,Exceeded
44,Vaughan,42000,6173,3080,1863,60.49,Not met
45,Waterloo,16000,1563,1173,635,54.13,Not met
46,Welland,4300,1547,315,868,275.56,Exceeded
47,Whitby,18000,2706,1320,1159,87.8,On track
48,Whitchurch-Stouffville,6500,1582,477,1141,239.2,Exceeded
49,Windsor,13000,837,953,346,36.31,Not met
50,Woodstock,5500,612,403,475,117.87,Exceeded
51,Municipalities without targets,172700,33735,12663,16237,128.2,Not applicable
